ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,note
45226K,한화갤러리아우,KOSPI,10080,10,"[3.3, 1.1, 6.5, 11.5, 2.4, 3.7, 49.4, 0.0, 36.8, 9.7]",9.67,True,0.27,80,50,VCP Pattern Detected
452260,한화갤러리아,KOSPI,2365,9,"[3.8, 4.0, 5.3, 4.8, 0.0, 1.8, 22.1, 20.1, 7.4]",7.38,True,0.7,70,50,VCP Pattern Detected
474170,루미르,KOSDAQ,18810,5,"[14.1, 6.2, 11.7, 15.7, 7.1]",7.07,True,0.69,70,50,VCP Pattern Detected
244920,에이플러스에셋,KOSPI,14060,6,"[4.7, 11.2, 18.2, 5.8, 9.2, 4.5]",4.45,False,0.88,60,60,VCP Pattern Detected
006800,미래에셋증권,KOSPI,61600,6,"[3.3, 10.7, 16.5, 14.5, 9.1, 5.6]",5.57,False,1.34,50,60,VCP Pattern Detected
298020,효성티앤씨,KOSPI,404000,7,"[9.1, 10.5, 6.2, 1.4, 0.0, 10.7, 8.1]",8.08,False,0.84,50,30,VCP Pattern Detected
005440,현대지에프홀딩스,KOSPI,14420,5,"[4.5, 16.9, 9.3, 11.2, 9.6]",9.6,False,6.07,50,30,VCP Pattern Detected
180400,DXVX,KOSDAQ,4970,9,"[13.6, 14.8, 10.0, 0.0, 20.3, 7.0, 10.1, 16.8, 9.3]",9.29,False,0.96,50,30,VCP Pattern Detected
189300,인텔리안테크,KOSDAQ,124300,6,"[9.7, 4.6, 24.0, 5.5, 8.1, 7.8]",7.82,False,1.69,50,30,VCP Pattern Detected
