ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,note
000720,현대건설,KOSPI,106600,7,"[8.7, 11.5, 8.9, 15.8, 9.0, 11.9, 9.5]",9.52,True,0.72,70,50,VCP Pattern Detected
012610,경인양행,KOSPI,4695,8,"[0.0, 8.9, 8.7, 5.3, 9.6, 7.9, 14.9, 10.0]",10.0,True,0.47,60,50,VCP Pattern Detected
00680K,미래에셋증권2우B,KOSPI,16330,6,"[8.0, 11.7, 7.9, 5.1, 4.7, 3.7]",3.69,False,1.54,60,60,VCP Pattern Detected
000990,DB하이텍,KOSPI,103000,6,"[5.8, 5.3, 12.2, 15.0, 5.3, 4.7]",4.65,False,1.3,60,60,VCP Pattern Detected
006800,미래에셋증권,KOSPI,48000,6,"[3.3, 10.7, 16.5, 14.5, 9.1, 5.6]",5.57,False,1.38,50,60,VCP Pattern Detected
457190,이수스페셜티케미컬,KOSPI,100000,5,"[9.3, 12.1, 12.6, 19.7, 7.4]",7.41,False,1.38,50,30,VCP Pattern Detected
011500,한농화성,KOSPI,24550,5,"[7.7, 4.5, 17.3, 12.4, 5.9]",5.89,False,1.38,50,60,VCP Pattern Detected
474170,루미르,KOSDAQ,19460,6,"[6.7, 14.1, 6.2, 11.7, 15.7, 7.1]",7.07,False,2.12,50,30,VCP Pattern Detected
189300,인텔리안테크,KOSDAQ,98800,7,"[5.4, 9.7, 4.6, 24.0, 5.5, 8.1, 7.8]",7.82,False,1.3,50,30,VCP Pattern Detected
