ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
042700,한미반도체,2026-01-30,211000.0,3.69,97.7,95.0,201109.0,132.79,37.02999877929688,1589.0,5698.0,0.3400000035762787,720.0,1391.19,884.47,-2316.14,1385.89,963.56,-2419.74,2889.01,3433.78,-6316.96,3506.52,2265.96,-5693.41,6303.58,1236.5,-7514.19
457190,이수스페셜티케미컬,2026-01-30,106400.0,1.92,75.1,60.0,32142.0,297.21,26.190000534057617,358.0,4063.0,0.0,0.0,-23.32,31.7,10.1,82.96,187.49,-184.64,140.14,-55.27,-0.46,179.28,483.59,-598.43,198.63,464.53,-600.34
012610,경인양행,2026-01-30,4920.0,0.72,100.0,60.0,2048.0,13.3,0.8399999737739563,370.0,5828.0,1.0199999809265137,50.0,-0.12,29.94,-29.99,-0.17,39.07,-39.9,-1.87,21.18,-18.59,-2.69,8.16,-4.89,-0.29,3.91,-3.28
000990,DB하이텍,2026-01-30,105800.0,4.65,91.1,75.0,46028.0,19.17,2.240000009536743,5520.0,47181.0,1.159999966621399,1230.0,322.99,-139.77,-183.1,620.67,67.43,-689.74,997.7,236.51,-1154.75,1207.0,242.86,-1383.65,1928.86,1327.89,-3216.95
00781K,코리아써키트2우B,2026-01-30,14710.0,4.18,50.9,40.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.02,-0.05,0.0,0.02,-0.05,0.0,0.02,-0.07,0.0,0.02,-0.09
000720,현대건설,2026-01-30,102600.0,-5.61,74.8,40.0,114251.0,0.0,1.440000057220459,0.0,71394.0,0.5799999833106995,600.0,-605.9,176.3,392.92,-775.56,2583.25,-1816.82,-685.65,3535.91,-2848.28,1447.06,3636.52,-5112.53,2395.02,-260.76,-2165.07
011500,한농화성,2026-01-30,25950.0,0.78,26.9,40.0,4058.0,88.27,2.4100000858306885,294.0,10781.0,0.2300000041723251,60.0,0.09,-11.27,13.29,0.46,-7.94,-2.67,0.5,-19.23,9.4,0.5,2.64,-12.98,-0.53,-11.04,-0.33
006800,미래에셋증권,2026-01-30,42750.0,4.65,54.7,60.0,242429.0,27.67,2.069999933242798,1545.0,20662.0,0.5799999833106995,250.0,59.62,-101.5,15.18,270.36,50.88,-388.88,1795.04,680.25,-2598.45,1498.3,346.06,-1967.83,3789.32,-2167.47,-716.04
274090,켄코아에어로스페이스,2026-01-30,29800.0,-0.17,56.8,40.0,3960.0,0.0,2.0999999046325684,0.0,14188.0,0.0,0.0,6.75,-7.86,14.92,-2.29,17.64,-2.23,12.68,-14.63,19.46,8.19,-9.63,18.87,12.72,-3.61,7.12
